epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,4177.93,0.95226,0.61679,1.14447,0.94454,0.95126,0.98116,0.76738,0.84564,0.42373,1.12613,0.009604,0.009604,0.009604
62,4246.76,0.94788,0.61271,1.14345,0.94713,0.94803,0.98228,0.77066,0.84563,0.41557,1.12673,0.0095974,0.0095974,0.0095974
63,4315.64,0.95122,0.61865,1.1442,0.95489,0.95688,0.98468,0.77389,0.83773,0.41028,1.12042,0.0095908,0.0095908,0.0095908
64,4384.5,0.94393,0.60504,1.14051,0.94545,0.9529,0.98263,0.77117,0.83981,0.41565,1.12246,0.0095842,0.0095842,0.0095842
65,4453.43,0.94494,0.60608,1.13656,0.96284,0.94219,0.98437,0.77291,0.83777,0.40825,1.12054,0.0095776,0.0095776,0.0095776
66,4522.32,0.93878,0.60468,1.13847,0.94887,0.95461,0.98282,0.77407,0.83873,0.40636,1.12206,0.009571,0.009571,0.009571
67,4591.27,0.94789,0.60513,1.13656,0.95258,0.94964,0.98415,0.77506,0.83916,0.40713,1.12258,0.0095644,0.0095644,0.0095644
68,4660.14,0.93512,0.60117,1.13559,0.95038,0.94718,0.98265,0.77607,0.832,0.41127,1.118,0.0095578,0.0095578,0.0095578
69,4729,0.93944,0.59416,1.13812,0.96117,0.94511,0.98467,0.77836,0.82686,0.40371,1.11364,0.0095512,0.0095512,0.0095512
70,4797.84,0.93623,0.59383,1.13265,0.95042,0.95573,0.98446,0.77868,0.82623,0.40341,1.11375,0.0095446,0.0095446,0.0095446
71,4866.8,0.93919,0.60143,1.13294,0.95455,0.95555,0.98537,0.77819,0.82554,0.40157,1.11118,0.009538,0.009538,0.009538
72,4935.6,0.93424,0.5872,1.13315,0.95424,0.95699,0.98502,0.78001,0.82691,0.39629,1.11329,0.0095314,0.0095314,0.0095314
73,5004.47,0.93361,0.58582,1.13115,0.95899,0.95875,0.98602,0.78127,0.8232,0.39205,1.11083,0.0095248,0.0095248,0.0095248
74,5073.35,0.93067,0.58801,1.13163,0.96498,0.95884,0.98731,0.78453,0.8213,0.38534,1.10909,0.0095182,0.0095182,0.0095182
75,5142.25,0.93715,0.59314,1.13251,0.96215,0.9541,0.98642,0.78534,0.81767,0.38813,1.10741,0.0095116,0.0095116,0.0095116
76,5211.09,0.93087,0.58178,1.12626,0.95603,0.95635,0.98533,0.78302,0.81878,0.38887,1.10828,0.009505,0.009505,0.009505
77,5280.05,0.92911,0.57992,1.1231,0.9626,0.95418,0.9857,0.78429,0.81763,0.38638,1.1078,0.0094984,0.0094984,0.0094984
78,5348.95,0.92566,0.57221,1.12288,0.95868,0.96017,0.98531,0.78447,0.81578,0.38437,1.10545,0.0094918,0.0094918,0.0094918
79,5417.85,0.92895,0.57812,1.12519,0.96272,0.95512,0.98568,0.78587,0.81649,0.38299,1.10577,0.0094852,0.0094852,0.0094852
80,5486.69,0.92665,0.57641,1.12586,0.95958,0.96086,0.98553,0.78695,0.81529,0.3827,1.104,0.0094786,0.0094786,0.0094786
81,5555.45,0.92953,0.57824,1.12927,0.9607,0.96147,0.98636,0.78582,0.81492,0.37856,1.10362,0.009472,0.009472,0.009472
82,5624.35,0.91796,0.56299,1.12071,0.95933,0.96262,0.98649,0.7878,0.81225,0.37799,1.10295,0.0094654,0.0094654,0.0094654
83,5693.29,0.92225,0.56613,1.12343,0.96331,0.95715,0.98637,0.78834,0.80979,0.37883,1.10171,0.0094588,0.0094588,0.0094588
84,5762.11,0.92336,0.57019,1.12074,0.96414,0.95771,0.98592,0.78938,0.80855,0.37744,1.1008,0.0094522,0.0094522,0.0094522
85,5830.95,0.92446,0.57231,1.12592,0.95807,0.96282,0.9859,0.79076,0.80696,0.37669,1.09922,0.0094456,0.0094456,0.0094456
86,5899.75,0.91958,0.56207,1.12242,0.96326,0.95707,0.98646,0.79106,0.80683,0.37308,1.09921,0.009439,0.009439,0.009439
87,5968.54,0.91721,0.56674,1.1205,0.96491,0.95539,0.98678,0.7917,0.80645,0.37142,1.09857,0.0094324,0.0094324,0.0094324
88,6037.49,0.92154,0.56009,1.12282,0.96419,0.96094,0.98672,0.78983,0.80737,0.37326,1.09929,0.0094258,0.0094258,0.0094258
89,6106.28,0.92206,0.56571,1.12608,0.96394,0.96054,0.98712,0.79234,0.80451,0.37063,1.09724,0.0094192,0.0094192,0.0094192
90,6175.26,0.91815,0.56599,1.12069,0.96197,0.96361,0.9876,0.79203,0.80426,0.36928,1.09654,0.0094126,0.0094126,0.0094126
91,6244.13,0.91095,0.55578,1.1179,0.96576,0.96205,0.98799,0.79321,0.80262,0.36701,1.09597,0.009406,0.009406,0.009406
92,6313.02,0.91284,0.55238,1.11523,0.96537,0.96398,0.98787,0.79406,0.80005,0.36565,1.09421,0.0093994,0.0093994,0.0093994
93,6382,0.90723,0.55518,1.11626,0.96364,0.96515,0.98827,0.79456,0.7985,0.36527,1.09322,0.0093928,0.0093928,0.0093928
94,6450.96,0.90903,0.55303,1.11463,0.97104,0.96333,0.98896,0.79537,0.79556,0.36173,1.09161,0.0093862,0.0093862,0.0093862
95,6521.32,0.91057,0.55216,1.1151,0.96945,0.96083,0.98787,0.79584,0.79472,0.36084,1.09095,0.0093796,0.0093796,0.0093796
96,6591,0.91129,0.55128,1.1134,0.96717,0.96218,0.98786,0.79601,0.793,0.35982,1.08988,0.009373,0.009373,0.009373
97,6660,0.90735,0.54594,1.11738,0.96625,0.9616,0.98793,0.79657,0.79323,0.36097,1.08889,0.0093664,0.0093664,0.0093664
98,6728.77,0.91029,0.55065,1.11785,0.96754,0.9601,0.98748,0.79767,0.79295,0.36019,1.08897,0.0093598,0.0093598,0.0093598
99,6797.59,0.90381,0.54761,1.11216,0.96613,0.96176,0.98706,0.798,0.79131,0.36128,1.08763,0.0093532,0.0093532,0.0093532
100,6866.51,0.91063,0.54784,1.11762,0.96697,0.96309,0.98769,0.7985,0.79234,0.35963,1.08816,0.0093466,0.0093466,0.0093466
101,6935.27,0.90464,0.54347,1.11403,0.96398,0.96386,0.98779,0.79811,0.79278,0.35886,1.08809,0.00934,0.00934,0.00934
102,7004.17,0.90223,0.54844,1.11192,0.96735,0.96082,0.98794,0.79837,0.79182,0.35678,1.08764,0.0093334,0.0093334,0.0093334
103,7073.07,0.90567,0.54068,1.11355,0.96497,0.96185,0.98826,0.79818,0.79116,0.3574,1.0871,0.0093268,0.0093268,0.0093268
104,7141.77,0.91139,0.54897,1.11517,0.96971,0.95975,0.98818,0.79969,0.79027,0.35693,1.08664,0.0093202,0.0093202,0.0093202
105,7209.55,0.89833,0.53142,1.11183,0.96863,0.96147,0.98843,0.80008,0.78989,0.35601,1.08637,0.0093136,0.0093136,0.0093136
106,7277.25,0.90462,0.54611,1.11466,0.96773,0.96313,0.98871,0.80138,0.78873,0.35535,1.08589,0.009307,0.009307,0.009307
107,7344.96,0.89171,0.54094,1.11119,0.96658,0.96513,0.98866,0.8013,0.78749,0.35408,1.08511,0.0093004,0.0093004,0.0093004
108,7412.64,0.90158,0.53852,1.11111,0.96579,0.96624,0.98865,0.80092,0.78729,0.35358,1.08462,0.0092938,0.0092938,0.0092938
109,7480.35,0.89919,0.53966,1.10995,0.96708,0.96512,0.98884,0.80082,0.78726,0.3532,1.08448,0.0092872,0.0092872,0.0092872
110,7547.95,0.89433,0.53419,1.11365,0.9712,0.96309,0.98897,0.80116,0.78733,0.35233,1.08433,0.0092806,0.0092806,0.0092806
111,7615.68,0.89419,0.53824,1.10888,0.9704,0.96389,0.98909,0.80184,0.78664,0.35035,1.08397,0.009274,0.009274,0.009274
112,7683.39,0.8946,0.53461,1.11196,0.9695,0.96516,0.98916,0.8024,0.78685,0.3508,1.08392,0.0092674,0.0092674,0.0092674
113,7750.92,0.89676,0.52725,1.10603,0.97162,0.96445,0.98912,0.80204,0.78665,0.34972,1.08378,0.0092608,0.0092608,0.0092608
114,7818.51,0.89371,0.52599,1.10508,0.97066,0.96657,0.98892,0.80181,0.78629,0.35022,1.08372,0.0092542,0.0092542,0.0092542
115,7886.1,0.89515,0.53106,1.10425,0.96924,0.96851,0.98878,0.80147,0.78648,0.35019,1.08369,0.0092476,0.0092476,0.0092476
116,7953.74,0.89708,0.52725,1.10471,0.97039,0.96751,0.98875,0.80264,0.78652,0.34922,1.08344,0.009241,0.009241,0.009241
117,8021.36,0.89423,0.52926,1.10161,0.96931,0.96716,0.98881,0.80295,0.78636,0.34888,1.08308,0.0092344,0.0092344,0.0092344
118,8089.02,0.88997,0.52958,1.10472,0.97028,0.96554,0.98867,0.80266,0.78573,0.34822,1.08274,0.0092278,0.0092278,0.0092278
119,8156.65,0.88891,0.53003,1.10418,0.97089,0.9681,0.98886,0.80311,0.78603,0.34791,1.08271,0.0092212,0.0092212,0.0092212
