epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,3765.85,0.92854,0.60054,1.13197,0.96636,0.96133,0.98744,0.78727,0.81203,0.38517,1.09786,0.0094852,0.0094852,0.0094852
80,3812.95,0.9287,0.59115,1.13175,0.96629,0.9611,0.98746,0.78715,0.81124,0.38347,1.09749,0.0094786,0.0094786,0.0094786
81,3860.11,0.92902,0.59362,1.1299,0.96975,0.95815,0.98757,0.78825,0.81108,0.38211,1.0975,0.009472,0.009472,0.009472
82,3907.22,0.92657,0.59104,1.12516,0.9685,0.95991,0.98758,0.78913,0.81022,0.38126,1.09719,0.0094654,0.0094654,0.0094654
83,3954.19,0.92824,0.59136,1.13055,0.97143,0.9564,0.98752,0.78861,0.80987,0.38009,1.09664,0.0094588,0.0094588,0.0094588
84,4001.3,0.92332,0.587,1.1241,0.96955,0.95871,0.98751,0.78913,0.80948,0.37905,1.09617,0.0094522,0.0094522,0.0094522
85,4048.54,0.92124,0.58824,1.12783,0.96791,0.95859,0.98742,0.78985,0.80866,0.37881,1.09579,0.0094456,0.0094456,0.0094456
86,4095.6,0.91596,0.5804,1.1253,0.96695,0.9598,0.98722,0.79003,0.8086,0.37795,1.09582,0.009439,0.009439,0.009439
87,4142.71,0.92598,0.5846,1.12791,0.96836,0.96006,0.98732,0.78936,0.80853,0.37784,1.09587,0.0094324,0.0094324,0.0094324
88,4189.87,0.92172,0.57597,1.12653,0.96857,0.95851,0.98735,0.79029,0.80778,0.37693,1.09541,0.0094258,0.0094258,0.0094258
89,4236.82,0.91779,0.57876,1.12287,0.96552,0.96137,0.98728,0.79076,0.80751,0.37752,1.09527,0.0094192,0.0094192,0.0094192
90,4283.99,0.91809,0.57724,1.12544,0.95811,0.96895,0.98724,0.79132,0.80713,0.37665,1.09491,0.0094126,0.0094126,0.0094126
91,4331.16,0.92641,0.58178,1.12618,0.96061,0.96751,0.98742,0.79138,0.80641,0.37592,1.09434,0.009406,0.009406,0.009406
92,4378.23,0.91794,0.56597,1.12109,0.96033,0.96821,0.98726,0.79131,0.80613,0.375,1.09401,0.0093994,0.0093994,0.0093994
93,4425.27,0.9183,0.57272,1.11955,0.96142,0.96699,0.98725,0.79209,0.8061,0.37479,1.09382,0.0093928,0.0093928,0.0093928
94,4472.41,0.91337,0.57385,1.12365,0.96719,0.96238,0.98727,0.79175,0.80568,0.37424,1.09351,0.0093862,0.0093862,0.0093862
95,4519.44,0.91727,0.57089,1.12093,0.96925,0.96094,0.98718,0.79252,0.80567,0.37403,1.09328,0.0093796,0.0093796,0.0093796
96,4566.53,0.91276,0.57125,1.11606,0.96694,0.96247,0.98726,0.79213,0.80553,0.37336,1.09286,0.009373,0.009373,0.009373
97,4613.71,0.92035,0.57121,1.12445,0.96572,0.9633,0.98725,0.79201,0.80552,0.37258,1.09282,0.0093664,0.0093664,0.0093664
98,4660.93,0.9163,0.57353,1.12173,0.96254,0.96651,0.98726,0.79253,0.80527,0.37208,1.09236,0.0093598,0.0093598,0.0093598
99,4708.01,0.90944,0.56187,1.11599,0.96012,0.97035,0.98718,0.79214,0.80497,0.37193,1.09195,0.0093532,0.0093532,0.0093532
100,4755.27,0.9128,0.56687,1.12152,0.9594,0.9707,0.98731,0.79214,0.80501,0.37157,1.09173,0.0093466,0.0093466,0.0093466
101,4802.46,0.90481,0.56169,1.11547,0.96041,0.97012,0.98753,0.79249,0.80476,0.37089,1.09144,0.00934,0.00934,0.00934
102,4849.43,0.90564,0.5593,1.11968,0.96004,0.97051,0.98754,0.79265,0.80441,0.37048,1.09117,0.0093334,0.0093334,0.0093334
103,4896.73,0.90656,0.56137,1.11909,0.96184,0.97014,0.98765,0.79298,0.80385,0.37009,1.09069,0.0093268,0.0093268,0.0093268
104,4943.86,0.90938,0.56705,1.11656,0.96173,0.97089,0.98773,0.79337,0.80328,0.36982,1.09023,0.0093202,0.0093202,0.0093202
105,4990.8,0.90603,0.55784,1.11618,0.96328,0.96931,0.98764,0.79383,0.80283,0.36926,1.08989,0.0093136,0.0093136,0.0093136
106,5038.15,0.90996,0.55895,1.11609,0.96357,0.96889,0.98774,0.79433,0.80221,0.36856,1.08948,0.009307,0.009307,0.009307
107,5085.23,0.90629,0.55925,1.12186,0.96258,0.96982,0.98777,0.79467,0.80169,0.36813,1.08913,0.0093004,0.0093004,0.0093004
108,5132.32,0.90678,0.55375,1.11502,0.96262,0.96977,0.98772,0.79476,0.80185,0.36776,1.08924,0.0092938,0.0092938,0.0092938
109,5179.97,0.90158,0.56002,1.11655,0.96573,0.96794,0.98777,0.79468,0.80163,0.36762,1.08905,0.0092872,0.0092872,0.0092872
